class,xmin,ymin,xmax,ymax
dash,27,144,73,224
dash,69,99,93,123
dash,89,86,98,94
whole,182,192,202,223
whole,171,172,189,199
whole,158,150,179,177
whole,148,130,169,156
whole,136,113,159,134
whole,130,102,146,117
whole,216,181,223,210
whole,207,168,217,189
whole,197,159,206,178
whole,186,145,198,165
whole,177,132,190,148
whole,167,123,181,135
whole,158,113,169,123
whole,146,102,161,113
whole,131,93,151,102
whole,125,89,135,100
whole,-4,132,16,148
whole,8,117,30,132
whole,24,108,46,118
whole,34,99,57,109
whole,48,91,68,101
whole,66,85,76,93
