class,xmin,ymin,xmax,ymax
dash,163,188,195,225
dash,127,112,158,152
dash,113,91,129,104
dash,117,93,129,106
dash,115,93,131,105
dash,78,160,78,160
whole,20,189,36,220
whole,27,168,48,191
whole,40,150,55,167
whole,50,133,62,151
whole,56,119,68,132
whole,65,107,74,122
whole,70,93,82,110
whole,-4,180,11,192
whole,5,164,18,179
whole,13,148,27,165
whole,24,135,38,145
whole,32,123,46,135
whole,32,116,50,123
whole,21,112,36,121
whole,2,113,20,120
whole,217,144,228,159
whole,211,135,219,148
whole,200,127,212,141
whole,187,121,197,134
whole,178,113,192,127
whole,169,104,182,118
whole,161,99,174,107
whole,150,91,164,101
whole,143,87,154,97
