class,xmin,ymin,xmax,ymax
dash,152,155,216,223
dash,106,106,137,128
dash,94,88,104,100
whole,31,194,40,222
whole,35,164,48,193
whole,42,137,51,165
whole,47,111,59,139
whole,59,93,63,111
whole,64,85,68,96
whole,40,100,54,112
whole,33,110,50,125
whole,22,129,41,145
whole,28,121,44,135
whole,13,145,31,161
whole,7,156,24,177
whole,4,172,19,191
whole,2,185,16,203
whole,-3,202,12,217
whole,202,120,220,151
whole,187,111,201,136
whole,170,106,189,123
whole,154,97,174,116
whole,139,87,156,107
whole,125,83,142,96
whole,112,78,129,90
whole,31,91,50,100
whole,14,101,30,108
whole,0,104,16,114
