class,xmin,ymin,xmax,ymax
dash,48,123,98,168
dash,102,96,120,110
dash,120,88,129,92
whole,173,188,188,218
whole,167,163,184,192
whole,166,142,180,170
whole,159,125,177,148
whole,157,109,171,131
whole,155,99,168,114
whole,150,89,163,103
whole,201,159,211,180
whole,195,145,203,163
whole,188,132,198,146
whole,180,118,189,132
whole,173,108,184,121
whole,166,97,175,110
whole,-2,129,23,144
whole,15,119,45,129
whole,33,107,61,120
whole,50,96,76,108
whole,67,92,92,101
whole,82,86,102,93
whole,99,81,111,86
