class,xmin,ymin,xmax,ymax
dash,123,115,167,160
dash,110,93,127,108
dash,104,86,114,92
whole,27,188,40,221
whole,39,164,55,190
whole,47,142,56,162
whole,54,122,64,142
whole,62,101,71,122
whole,68,87,79,101
whole,-2,192,9,215
whole,3,172,19,193
whole,11,155,32,172
whole,22,141,38,155
whole,26,127,48,140
whole,40,113,53,128
whole,47,105,61,114
whole,47,97,61,105
whole,32,97,51,105
whole,17,98,34,106
whole,2,101,19,111
whole,209,132,223,153
whole,198,118,215,145
whole,184,111,202,131
whole,174,105,188,122
whole,164,99,178,115
whole,149,93,168,108
whole,139,87,155,100
whole,124,77,141,88
