class,xmin,ymin,xmax,ymax
dash,24,120,68,175
dash,72,94,82,110
dash,91,86,119,94
dash,129,86,153,95
dash,157,93,183,106
dash,188,110,217,137
whole,168,193,188,221
whole,153,175,179,200
whole,146,155,169,178
whole,139,140,159,160
whole,130,125,153,144
whole,124,114,141,131
whole,119,106,138,118
whole,209,194,226,214
whole,201,182,217,200
whole,193,169,210,189
whole,187,158,206,181
whole,176,146,195,166
whole,164,135,181,152
whole,149,120,168,137
whole,143,108,157,124
whole,-4,130,17,142
whole,8,115,29,131
whole,23,109,39,116
whole,32,99,48,111
